,store,side-gu,address,phone
0,평택이충DT점,경기 평택시,경기도 평택시 추담로 30 (이충동 59) .,031-666-7034
1,충무로역점,서울 중구,"서울특별시 중구 퇴계로36길 2 (필동2가, 동국대학교충무로영상센터) .",02-2268-8960
2,평택지산점,경기 평택시,"경기도 평택시 지산로 10, 가이아프레지던스 1층  지산동 808-4, 101,102호",031-8029-9005
3,FKI타워2호점,서울 영등포구,"서울특별시 영등포구 여의대로 24 (여의도동, 에프케이아이타워) 1층",02-782-3647
4,부산명지강변DT점,부산 강서구,부산광역시 강서구 르노삼성대로 586 (명지동) 1-3층,051-710-2800
5,전북대의과대점,전북 전주시 덕진구,"전북특별자치도 전주시 덕진구 건지로 20 (금암동, 전북대학교병원) 의학계학생회관1층",063-270-4597
6,(하)내린천휴게소점,강원 인제군,"강원도 인제군 상남면 서울양양고속도로 117 양양방향 내린천휴게소, 1층",.
7,(상)내린천휴게소점,강원 인제군,강원도 인제군 상남면 서울양양고속도로 117  서울방향 내린천휴게소 4층,.
8,대전호수공원점,대전 서구,"대전광역시 서구 도안동로 234-42 1,2층 도안동 2336",070-8862-8826
9,국립부경대청운관점,부산 남구,"부산광역시 남구 용소로 45 (대연동, 국립부경대학교대연캠퍼스) 청운관 1층",051-629-7419
